Country FR,Country,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Royaume-Uni,United Kingdom,Densité de la population (personnes par kilomètre carré de superficie des terres),243.427908899268,244.366854048692,245.40354234696,246.548906708552,247.955627660894,249.663977183483,251.50589013351,253.471925763651,255.474703426611,257.414417393461,259.440189310958,261.475674781962,263.300190137643,265.069536642831,267.028884388046,269.153139337825,271.200731616583,273.049472988054,274.708981936924,276.263080229819,277.27538544207,277.048286694498,280.209151407432,
Géorgie,Georgia,Densité de la population (personnes par kilomètre carré de superficie des terres),71.3308898141992,70.232915777319,69.6055670247384,69.13705867945,68.7102417859267,68.2751145946324,67.8880821582281,67.5348682599111,67.3300150460128,66.7346478183281,66.2496063543161,65.7203016200707,65.238006928164,65.0419538822212,65.0725007872914,65.1750586094685,65.2140557752196,65.2227859617201,65.197330207495,65.0855698239966,65.1302704783232,64.8834808775675,64.9515728331992,
Ghana,Ghana,Densité de la population (personnes par kilomètre carré de superficie des terres),86.301692010196,88.6308736925376,91.1021710468489,93.5954337698866,96.1074887931792,98.6615012745012,101.260007031731,103.903836688055,106.574430869298,109.267223345346,111.958315021535,114.683519381208,117.492607893118,120.357708534763,123.238076821658,126.114388678914,129.017939702909,131.88166476224,134.647029093786,137.382028101418,140.147712389575,142.918455784436,145.689425270181,
Gibraltar,Gibraltar,Densité de la population (personnes par kilomètre carré de superficie des terres),2770.9,2765.7,2783.1,2827.4,2871.5,2916.3,2959.4,3000.6,3041.3,3082.3,3124.8,3166,3202.9,3240.7,3281.3,3319.3,3365.8,3424.5,3485.4,3549.4,3617.3,3685.8,,
Guinée,Guinea,Densité de la population (personnes par kilomètre carré de superficie des terres),34.3025883118997,34.75484291063,35.3006104509197,36.1011761354387,36.8823294807097,37.6275598241901,38.422476802865,39.3223221552987,40.2851619729774,41.2808643985024,42.3086684030604,43.3697297737262,44.4472611102067,45.5472611102067,46.6910467198437,47.8881246947745,49.1332817841446,50.4055795214065,51.7042731564382,53.0455233599219,54.4163397362852,55.7973018069347,57.1998087253785,
Gambie,Gambia,Densité de la population (personnes par kilomètre carré de superficie des terres),143.783003952569,147.728359683794,151.748122529644,155.890415019763,160.208695652174,164.726976284585,169.493577075099,174.483596837945,179.629644268775,184.923122529644,190.378458498024,196.026086956522,201.886758893281,207.887351778656,213.886166007905,219.815118577075,225.668873517787,231.441600790514,237.117786561265,242.771146245059,248.590217391304,254.546442687747,260.520750988142,
Guinée-Bissau,Guinea-Bissau,Densité de la population (personnes par kilomètre carré de superficie des terres),43.9097083926031,44.8532361308677,45.8501778093883,46.8992176386913,47.9929943100996,49.1317567567568,50.3308321479374,51.599786628734,52.9179943100996,54.2808321479374,55.702240398293,57.1862019914651,58.7274893314367,60.3119843527738,61.9175675675676,63.5297652916074,65.1455547652916,66.7522048364154,68.3559032716927,69.9749644381223,71.5951280227596,73.2162517780939,74.8765647226174,
Guinée équatoriale,Equatorial Guinea,Densité de la population (personnes par kilomètre carré de superficie des terres),25.0723351158645,26.7321212121212,28.4476648841355,30.2268092691622,32.0826024955437,33.7742245989305,35.3063458110517,36.935614973262,38.6641711229947,40.4874509803922,42.3916221033868,44.272192513369,46.1134759358289,47.9935115864528,49.9047415329768,51.8332620320856,53.7677718360071,55.7003921568627,57.6264527629233,59.5428520499109,61.1931550802139,62.7018181818182,64.297504456328,
Grèce,Greece,Densité de la population (personnes par kilomètre carré de superficie des terres),83.83093871218,84.2678975950349,84.5773622963538,84.7794414274632,84.9894569433669,85.2390535298681,85.4954383242824,85.7135221101629,85.9413576415826,86.1677036462374,86.278828549263,86.1512723041117,85.6866640806827,85.067579519007,84.5028161365399,83.947889837083,83.5994647013189,83.4342823894492,83.2651823118697,83.1775174553918,82.999216446858,81.9953995345229,80.968828549263,
Grenade,Grenade,Densité de la population (personnes par kilomètre carré de superficie des terres),316.032352941176,317.608823529412,318.835294117647,320.247058823529,321.538235294118,322.747058823529,323.926470588235,325.064705882353,326.164705882353,327.217647058824,328.194117647059,329.644117647059,331.691176470588,333.785294117647,335.682352941176,337.282352941176,338.617647058824,339.523529411765,340.267647058824,341.120588235294,342.179411764706,343.2,343.861764705882,
Groenland,Greenland,Densité de la population (personnes par kilomètre carré de superficie des terres),0.136922889511512,0.137288342063589,0.137919356803508,0.138299427457668,0.138655134608357,0.138713607016689,0.138321354610793,0.137787793884761,0.137234742355951,0.137222560604215,0.138640516506274,0.138603971251066,0.138409063223292,0.137612376659764,0.137154342794494,0.136713363381654,0.136888780606651,0.136854671701791,0.136491655500061,0.136983798270191,0.137329760019491,0.138026556218784,0.138046047021562,
Guatemala,Guatemala,Densité de la population (personnes par kilomètre carré de superficie des terres),109.160059723778,111.696733855916,114.286254199328,116.889156401642,119.516629339306,122.131662933931,124.742991787981,127.398656215006,130.040817469205,132.65781075028,135.312728630086,138.037756625607,140.814175065323,143.59217058604,146.339352370287,149.045754012691,151.817469204927,154.603928704741,157.201241134752,159.609957073535,161.97578387458,164.227790220231,166.553536767451,
Guam,Guam,Densité de la population (personnes par kilomètre carré de superficie des terres),296.416666666667,298.757407407407,300.583333333333,302.105555555556,303.351851851852,304.37962962963,305.257407407407,306.05,306.838888888889,307.727777777778,308.374074074074,308.412962962963,308.02037037037,307.344444444444,306.455555555556,305.37962962963,304.135185185185,302.759259259259,301.257407407407,299.644444444444,300.292592592593,303.203703703704,305.888888888889,
Guyana,Guyana,Densité de la population (personnes par kilomètre carré de superficie des terres),3.88535433070866,3.88355092710185,3.87935991871984,3.87656083312167,3.87309118618237,3.8654508509017,3.85555499110998,3.84486156972314,3.83340614681229,3.82064516129032,3.80622809245618,3.79046482092964,3.79115062230124,3.8101143002286,3.83149098298197,3.85461518923038,3.8788315976632,3.90388112776226,4.02111252222504,4.10294640589281,4.10201168402337,4.14265684531369,4.17392430784862,
Revenu élevé,High income,Densité de la population (personnes par kilomètre carré de superficie des terres),24.1014984971887,24.2237817299259,24.3467534668447,24.4720874351155,24.6039603414625,24.7357461868325,24.8850318677915,25.0499734333056,25.230333877318,25.3829331186973,25.4922507874665,25.5984290225134,25.7443504493046,25.9009580506619,26.0486599069066,26.2104051138371,26.3600146459807,26.4741324457799,26.5578190426621,26.6391134030138,26.7580114329377,26.8027037320129,26.9476901284208,
"Chine, RAS de Hong Kong","China, Hong Kong SAR",Densité de la population (personnes par kilomètre carré de superficie des terres),6347.61904761905,6394.57142857143,6422.95238095238,6410.28571428571,6460.47619047619,6488.7619047619,6530.57142857143,6586.95238095238,6626.47619047619,6640.7619047619,6689.71428571429,6734.85714285714,6809.61904761905,6837.04761904762,6885.2380952381,6944.09523809524,6987.2380952381,7041.14285714286,7097.71428571429,7150.38095238095,7124.7619047619,7060.09523809524,,
Honduras,Honduras,Densité de la population (personnes par kilomètre carré de superficie des terres),58.7878541424613,60.3985432120833,62.015005809277,63.6268924836893,65.2336580570203,66.8366699436947,68.431781213692,70.0223254982572,71.6112878720172,73.1959871302172,74.7687729019573,76.3301724908392,77.8896773616945,79.4465814639378,81.0002859951738,82.5570202877826,84.121726695862,85.6925283760837,87.2750916078291,88.8697202609706,90.4427562784878,91.9642237912235,93.5192778621861,
Pays pauvres très endettés (PPTE),Heavily Indebted Poor Countries (HIPC),Densité de la population (personnes par kilomètre carré de superficie des terres),27.7366075449133,28.4969734176254,29.330401041227,30.1990112786353,30.8005566950545,31.6880495040748,32.6064614235137,33.5180446547401,34.4638831444811,35.4526417632089,36.4473822892634,37.4730548761782,34.8236049284709,35.8149382891725,36.8537865109223,37.9189176723804,39.025674597164,40.1855427979159,41.3523557492643,42.5190680719139,43.7099075657914,44.9054154980091,46.0900782945962,
Croatie,Croatia,Densité de la population (personnes par kilomètre carré de superficie des terres),79.9166905136643,76.9001645442839,76.9454499928459,76.8958437567007,76.9173039811307,77.0163855335573,77.0345043242084,77.0176720749053,77.0085233364306,76.927685655064,76.7533950396684,76.4888499749839,76.1269387463369,75.6543849617611,75.0767993710242,74.1856371953399,73.3840861982703,72.2144056893717,71.2739439639768,70.5701879779859,69.946497498213,69.3170300214439,68.8999463902788,
Haïti,Haiti,Densité de la population (personnes par kilomètre carré de superficie des terres),301.275435413643,306.818505079826,312.323693759071,317.848766328012,323.304172714078,328.783490566038,334.418069666183,340.105079825835,345.81908563135,351.581313497823,355.70732946299,359.757039187228,365.376306240929,370.912989840348,376.387336719884,381.830261248186,387.208164005806,392.516473149492,397.763497822932,402.944956458636,407.977068214804,412.720827285922,417.402249637155,
Hongrie,Hungary,Densité de la population (personnes par kilomètre carré de superficie des terres),113.936297701406,113.675251060031,113.352019638474,113.027806293238,112.777795135015,112.566287244727,112.391139381765,112.217163263029,112.020845887736,110.710814094775,110.460874848117,110.148315475533,109.580934496852,109.27959792334,108.113828621521,107.85698005698,107.539151873767,107.253626999781,107.117729563883,107.069263642341,106.839239535393,106.398104317335,105.680221345606,
BIRD seulement,BIRD only,Densité de la population (personnes par kilomètre carré de superficie des terres),56.3605166988903,57.0368803805904,57.6912523622848,58.3300459712697,58.9793316998993,59.6193390938655,60.1670471962571,60.778437444582,61.4029739441699,62.0430885387988,62.6831543816806,63.3392383101148,64.0313309901817,64.7383177296714,65.4266147865154,66.0799275284365,66.7138479396783,67.3454263832203,67.928599894297,68.4680219186462,68.946526857138,69.3066692123863,69.6300178791534,
BIRD et IDA,IBRD and IDA,Densité de la population (personnes par kilomètre carré de superficie des terres),54.8324038204486,55.6433851224452,56.4459826740064,57.2423697149221,57.9579182125208,58.762343533349,59.5089024887134,60.3135483000255,61.1323623218924,61.9668463689047,62.8068156780173,63.6624455525087,62.8623348738096,63.7126564532884,64.5589244950258,65.3829965367745,66.2082882291945,67.0446666310415,67.8579369579145,68.6516210079571,69.4104777259735,70.0844359788049,70.7284129427182,
IDA totale,Total IDA,Densité de la population (personnes par kilomètre carré de superficie des terres),50.0620177535032,51.2932854222627,52.5586961571558,53.8466694076021,54.7896162851851,56.1039371670226,57.4644522370557,58.8694513106333,60.2917525026172,61.7300210631151,63.1909274670047,64.6663688226466,59.5902347483495,60.8417716261234,62.1300849670551,63.4324585942407,64.7933355574215,66.202975860201,67.6601823553781,69.1654337294484,70.7088133925352,72.2614274124311,73.8026057703626,
IDA mélange,IDA mixture,Densité de la population (personnes par kilomètre carré de superficie des terres),82.1820429226098,84.3776939317515,86.5165521041847,88.6797874372713,90.9435540864722,93.2386685440571,95.5928772682763,98.1222036217358,100.74577335458,103.399104478911,106.090430133584,108.727116473795,111.240415315317,113.6400521889,116.006346612328,118.206621138042,120.493957027271,122.853089002822,125.295178130155,127.768563965428,130.317759208976,132.941742652468,135.546781529734,
Indonésie,Indonesia,Densité de la population (personnes par kilomètre carré de superficie des terres),115.08687262286,116.695437968937,118.288280970792,119.864570212072,121.397785588322,122.966345480392,124.606809305259,126.263615441442,127.912368929422,129.543311146252,131.186593584406,132.872174396105,134.591727167608,136.271572751061,137.882705314833,139.438934572699,140.945267664402,142.393583234045,143.781152680745,145.132688936836,146.371283592869,146.235107708626,147.330175215419,
IDA seulement,IDA only,Densité de la population (personnes par kilomètre carré de superficie des terres),41.9153191160423,42.9020862631373,43.9459645078447,45.0119176500861,45.693828405163,46.7613969150624,47.8719969143047,48.993903502985,50.1138782654423,51.2465110700893,52.3983597711561,53.5820489394881,48.1653046717488,49.1628510513215,50.2120134752997,51.3025888340204,52.458165449199,53.6574887687039,54.8965483631864,56.1874944561852,57.5078091127411,58.8231506864621,60.1297526450257,
Île de Man,Isle of Man,Densité de la population (personnes par kilomètre carré de superficie des terres),132.735087719298,134.168421052632,135.570175438596,136.928070175439,138.231578947368,139.501754385965,140.866666666667,142.363157894737,143.910526315789,145.50701754386,147.145614035088,148.038596491228,147.956140350877,147.615789473684,147.178947368421,146.654385964912,146.431578947368,146.682456140351,147.026315789474,147.29298245614,147.480701754386,147.554385964912,147.6,
Inde,India,Densité de la population (personnes par kilomètre carré de superficie des terres),355.82076254797,362.539418940599,369.165905979773,375.624499611528,382.078344471763,388.36277600826,394.485011048739,400.470881780175,406.274393496547,412.191872366045,418.231449722352,424.199245255096,430.068210238834,435.838110245225,441.370107863944,446.666542669658,452.020992940243,457.30592394028,462.351569862673,467.185182245332,471.755150192218,475.652042419085,479.425536881262,
Non classifié,Unclassified,Densité de la population (personnes par kilomètre carré de superficie des terres),,,,,,,,,,,,,,,,,,,,,,,,
Irlande,Ireland,Densité de la population (personnes par kilomètre carré de superficie des terres),55.2355058789374,56.1219770648861,57.075729423719,58.0130788213093,59.0834954274931,60.3848744375091,62.0349978226158,63.8545797648425,65.1697488750181,65.8350268544056,66.1947307301495,66.4840179997097,66.7663376397155,67.1188271156917,67.6112643344462,68.2531136594571,69.027943097692,69.7835389751778,70.6534475250399,71.6263608651473,72.3672811728843,73.0608796632312,74.9847583103498,
"Iran, République islamique d’","Iran, Islamic Republic of",Densité de la population (personnes par kilomètre carré de superficie des terres),40.778665365063,41.4131026056632,41.7565000368378,42.2218988678504,43.1348485964783,44.1000853409956,45.0605043100273,45.8033399641445,46.3630025295317,46.9423518504875,47.5336096171321,48.1247071391734,48.7306785530097,49.3717220462192,50.0393213241976,50.7253137356025,51.4576905130283,52.4047790446841,53.0773485362096,53.6527876733436,54.0668369799692,54.518020338983,55.1767309707242,
Iraq,Iraq,Densité de la population (personnes par kilomètre carré de superficie des terres),55.8430070649564,57.6121819054805,59.4612319089101,61.281429910602,63.0538857260443,64.9506093239134,65.4286187895832,64.9143905617669,66.2391933603128,69.2075105912691,71.4803969423467,74.0500644685946,77.4885844538589,81.2709362215752,84.1918950171378,86.5194942505436,88.6135586739395,90.6123378358457,92.7505804739616,94.8848519330704,97.0142561640806,99.2131606346515,101.515108447278,
Islande,Iceland,Densité de la population (personnes par kilomètre carré de superficie des terres),2.80503740648379,2.84257356608479,2.86805985037406,2.88799002493766,2.91345635910224,2.95994014962594,3.03024438902743,3.10789027431421,3.16622443890274,3.17704738154613,3.17247880299252,3.18218453865337,3.19916209476309,3.22956608478803,3.2656957605985,3.29990024937656,3.34602493765586,3.42543640897756,3.49817514628583,3.5759496181692,3.63446394922146,3.69453535654071,3.78858474660319,
Israël,Israel,Densité de la population (personnes par kilomètre carré de superficie des terres),290.619223659889,297.550831792976,303.604436229205,309.135859519408,314.648798521257,320.244916820702,325.956561922366,331.797597042514,337.744916820702,345.914972273567,352.292051756007,358.863216266174,365.549907578558,372.435304990758,379.653419593346,387.250462107209,394.916820702403,402.647874306839,410.480591497227,418.391866913124,425.836414048059,433.059149722736,,
Italie,Italy,Densité de la population (personnes par kilomètre carré de superficie des terres),192.555434569421,192.663618717833,192.950740232248,193.810329435476,195.068703967969,196.029609289932,196.61968158854,197.614991309288,198.928475777599,199.836888522173,200.452515572268,200.797546987333,201.339509262203,203.687120838096,205.564558126323,205.366538391305,205.017949533001,204.710937447163,204.322225904409,201.980545589195,200.999100491348,199.965416259464,199.559268903016,
Jamaïque,Jamaica,Densité de la population (personnes par kilomètre carré de superficie des terres),240.79649122807,242.327146814404,243.820129270545,245.302216066482,246.742843951985,248.113204062789,249.396860572484,250.581717451524,251.674515235457,252.723453370268,253.792059095106,254.893259464451,255.995383194829,257.034810710988,257.963896583564,258.775069252078,259.456602031394,259.996675900277,260.39676823638,260.689843028624,261.379409048938,262.020498614958,262.155493998153,
Jordanie,Jordan,Densité de la population (personnes par kilomètre carré de superficie des terres),61.0487873980054,62.3174750679964,63.6453535811423,65.0705802357208,66.6598028105168,68.3316749773345,72.839653218495,77.3711128739801,79.2142565729828,80.4432642487047,82.1924194638432,84.2579860328903,85.4598670871818,90.0181234512278,99.0280468574003,107.509900878576,112.70969813021,115.276255913494,117.84530299617,120.187073450909,122.364439038674,124.629547041467,126.768283893056,
Japon,Japan,Densité de la population (personnes par kilomètre carré de superficie des terres),347.991769547325,348.831275720165,349.643347050754,350.39231824417,350.510288065844,350.543209876543,350.765432098765,351.168724279835,351.338820301783,351.294924554184,351.358024691358,350.707818930041,350.148148148148,349.643347050754,349.179698216735,348.809327846365,348.631001371742,348.345679012346,347.903978052126,347.415637860082,346.395061728395,344.80546776406,343.278433470508,
Kazakhstan,Kazakhstan,Densité de la population (personnes par kilomètre carré de superficie des terres),5.74178723561877,5.76936326258473,5.79941363855243,5.83301107530466,5.87108160165944,5.91477460458569,5.9650020372634,6.02185946586658,6.08457421194948,6.15618253880061,6.23654850538949,6.32144386413305,6.4103811534615,6.50313071822795,6.5993573360003,6.69858465755454,6.80208912101345,6.90889024706449,7.01290032225803,7.11544060451161,7.21640071119013,7.31325813979331,7.42105011667963,
Kenya,Kenya,Densité de la population (personnes par kilomètre carré de superficie des terres),53.8406894612925,55.55604947816,57.3317777699687,59.1281986857364,60.992822504129,62.8957444565485,64.8417050286397,66.8312699862951,68.8870067118811,70.9999139051903,73.0902185753945,75.1281951716625,77.1133692940226,79.043453280388,80.9140808939804,82.7362792985909,84.5832079980321,86.4422918789753,88.215741293882,89.9652581087255,91.7477843764276,93.508040201005,95.3235776786028,
République kirghize,Kyrgyz Republic,Densité de la population (personnes par kilomètre carré de superficie des terres),25.5389025026069,25.7824426485923,26.020354535975,26.2946193952033,26.614767987487,26.9167857142857,27.2073670490094,27.4681152241919,27.7305995828989,28.1003284671533,28.5039572471324,28.9185948905109,29.4685922836288,30.1206986444213,30.791697080292,31.4913216892596,32.1967544316997,32.8816240875912,33.5979066736184,34.3598070907195,35.0708837330553,35.7206673618352,36.3671506777894,
Cambodge,Cambodia,Densité de la population (personnes par kilomètre carré de superficie des terres),70.6001359619307,71.7113301608883,72.8259743938364,73.934783593927,75.0324665760254,76.1341604350782,77.2661907999094,78.4147405393157,79.6140890550646,80.8792771357353,82.1477792884659,83.4046227056424,84.6651087695445,85.9404486743712,87.2239519601178,88.5069737140267,89.8074042601405,91.0569453886245,92.1964763199638,93.3679129843644,94.7511556764106,96.160803308407,97.4491502379334,
Kiribati,Kiribati,Densité de la population (personnes par kilomètre carré de superficie des terres),109.398765432099,111.524691358025,113.906172839506,116.265432098765,118.623456790123,121.030864197531,123.477777777778,126.00987654321,128.669135802469,131.440740740741,134.202469135802,136.601234567901,138.622222222222,140.540740740741,142.377777777778,144.216049382716,146.269135802469,148.487654320988,150.720987654321,152.988888888889,155.677777777778,158.49012345679,161.072839506173,
Saint-Kitts-et-Nevis,Saint Kitts and Nevis,Densité de la population (personnes par kilomètre carré de superficie des terres),174.030769230769,176.003846153846,177,177.6,178.134615384615,178.603846153846,179.111538461538,179.638461538462,180.134615384615,180.446153846154,180.176923076923,180.330769230769,180.896153846154,181.034615384615,181.111538461538,181.103846153846,181.057692307692,180.961538461538,180.8,180.584615384615,180.269230769231,179.857692307692,179.65,
"Corée, République de","Korea, Republic of",Densité de la population (personnes par kilomètre carré de superficie des terres),487.332687124197,489.664709530701,492.248538072115,494.755475206612,496.617630654823,497.517408363449,499.982369942197,502.307449442839,505.770780492834,508.013960436843,509.815967078189,513.804280275749,515.875583187751,517.612269825303,520.852499230217,523.525547744882,525.370072521002,526.734806686494,528.969011484824,530.377274590164,531.109006147541,530.425604508197,529.43205942623,
Koweït,Kuwait,Densité de la population (personnes par kilomètre carré de superficie des terres),109.691863075196,112.689169472503,115.59898989899,118.399607182941,121.061728395062,125.521212121212,132.701066217733,140.734399551066,148.789057239057,156.873400673401,165.172390572391,175.803254769921,187.267620650954,196.848709315376,205.716947250281,215.183726150393,224.696745230079,233.1544332211,242.621492704826,249.288215488215,246.928563411897,244.717452300786,257.555723905724,
Amérique latine et Caraïbes (hors revenu élevé),Latin America and the Caribbean (excluding high income),Densité de la population (personnes par kilomètre carré de superficie des terres),26.0136823193273,26.3803356070788,26.7385737659124,27.0863510695083,27.4271214938054,27.7633581037917,28.0956950428185,28.4267450275657,28.7569309637434,29.0834663647484,29.40350411849,29.7220274418641,30.0419116686408,30.3618180906909,30.6738865588412,30.9782685305157,31.2800845916201,31.590521764065,31.9136670140559,32.2282994257016,32.4966084887648,32.7094010792385,32.9227719704604,
République démocratique populaire lao,Lao People's Democratic Republic,Densité de la population (personnes par kilomètre carré de superficie des terres),23.5321143847487,23.9232322357019,24.3106109185442,24.6878032928943,25.0503726169844,25.4312088388215,25.8370883882149,26.2401906412478,26.6419800693241,27.0435095320624,27.4445147313691,27.8448440207972,28.2451386481802,28.6455155979203,29.0432062391681,29.4698656845754,29.934150779896,30.4079159445407,30.8840771230503,31.3589081455806,31.8307322357019,32.2928682842288,32.7513301559792,
Liban,Lebanon,Densité de la population (personnes par kilomètre carré de superficie des terres),423.200391006843,430.295014662757,436.315151515152,442.3761485826,449.587390029325,456.608211143695,464.431671554252,473.520821114369,481.461779081134,488.004594330401,492.794525904203,498.144672531769,511.802737047898,561.430694037146,620.429130009775,632.694916911046,618.089931573803,602.163049853372,584.957869012708,566.431476050831,557.419159335288,558.956207233627,561.533626588465,
Libéria,Liberia,Densité de la population (personnes par kilomètre carré de superficie des terres),30.3998857973422,31.3054194352159,32.1302117940199,32.3871677740864,32.7750415282392,34.2713351328904,36.2415593853821,38.0922965116279,39.6698816445183,40.9367524916943,42.1396387043189,43.8245224252492,45.4011939368771,46.4102886212625,47.3867628737542,48.3744912790698,49.3730066445183,50.3418293189369,51.3364410299003,52.3642130398671,53.462032807309,54.60260589701,55.7858596345515,
Libye,Libya,Densité de la population (personnes par kilomètre carré de superficie des terres),3.01500448980984,3.07105209316071,3.13059663321095,3.19367448310354,3.26033679257079,3.32973277106516,3.39873546495107,3.46930447730657,3.54378417086284,3.61838094047308,3.69291917205633,3.60503483865101,3.51189970105823,3.58311149504984,3.65280243700058,3.71223103765757,3.76923855098492,3.8298475737977,3.89252588744786,3.95048308080521,4.00411414346932,4.05513656978528,4.10550768950976,
Sainte-Lucie,Saint Lucia,Densité de la population (personnes par kilomètre carré de superficie des terres),260.026229508197,262.683606557377,264.985245901639,267.173770491803,269.244262295082,271.229508196721,273.17868852459,275.013114754098,276.734426229508,278.473770491803,280.173770491803,281.640983606557,282.929508196721,284.211475409836,285.472131147541,286.729508196721,287.944262295082,289.085245901639,290.191803278688,291.247540983607,292.213114754098,292.659016393443,293.083606557377,
Amérique latine et Caraïbes,Latin America and the Caribbean,Densité de la population (personnes par kilomètre carré de superficie des terres),25.9529802442326,26.3171527942571,26.6736175172998,27.0204001421728,27.3602195415425,27.6926786911619,28.0234967476479,28.3523925287658,28.6798177861617,29.0030480416402,29.3203937608229,29.6343928217159,29.9500591390368,30.2655613024047,30.5732404562066,30.8728266039333,31.1651559063147,31.4481857726529,31.7150766058722,31.9733255929605,32.205035215418,32.3914737210361,32.5866637093114,
Pays les moins avancés: classement de l’ONU,Least developed countries: UN ranking,Densité de la population (personnes par kilomètre carré de superficie des terres),38.0338067942982,38.9512242741957,39.9329677899783,40.9405114268245,41.5859921540575,42.5952012908213,43.6301495070932,44.6537643858708,45.7043505943895,46.7915961855953,47.8907134736695,49.0285152754933,44.0403752610993,45.100738430633,46.182085419475,47.2734990241182,48.3992531571325,49.557428977561,50.7420319800496,51.9651409128099,53.2237962857723,54.478174699004,55.7262269804658,
Faible revenu,Low income,Densité de la population (personnes par kilomètre carré de superficie des terres),32.2488149742806,33.1315539759622,34.1164758588419,35.1426827604737,35.7213149355985,36.7643426189205,37.8739846079201,39.0014272218267,40.1330685707449,41.2909263988771,42.4702596709063,43.6741870664448,37.262708926198,38.217343707016,39.1709743550253,40.1602322155385,41.2244176690431,42.3563037451927,43.5518386897363,44.8086175840461,46.0865931024112,47.3517053198679,48.6114450741019,
Liechtenstein,Liechtenstein,Densité de la population (personnes par kilomètre carré de superficie des terres),204.03125,207.4625,210.5875,212.99375,215.29375,217.20625,218.98125,220.3875,221.70625,223.3875,225.1375,226.95,229.10625,231.15,232.8,234.3375,235.725,237.2625,239.0375,241.01875,243.13125,244.8875,246.83125,
Sri Lanka,Sri Lanka,Densité de la population (personnes par kilomètre carré de superficie des terres),307.655142720459,312.55560516664,315.830840376336,318.1553340775,320.325386700686,322.381183224366,324.548094402807,326.782730027109,328.964726518896,330.990830808484,332.946723010684,335.019103811194,337.577069047999,328.257056290863,331.334715356403,338.810527846445,342.672030762768,346.46890601522,350.284495021337,352.431694638296,354.332363401229,358.163595215002,358.567733591982,
"Revenu intermédiaire, tranche inférieure",Lower middle income,Densité de la population (personnes par kilomètre carré de superficie des terres),118.891810788387,121.290905221438,123.646909441445,125.97970789928,128.345324214958,130.653983608738,132.994719637144,135.386073654774,137.761766995628,140.148579937579,142.575135140699,145.009868670377,147.428401675761,149.819063300396,152.241842207341,154.550511596134,156.874864944194,159.183477893971,161.453178052141,163.689770956956,165.909995098312,168.02214746276,170.151178034747,
Revenu faible et intermédiaire,Low and middle income,Densité de la population (personnes par kilomètre carré de superficie des terres),65.6784501311981,66.706201820252,67.7237969119101,68.728115491771,69.6081333144754,70.6214415741382,71.5410200622485,72.5521593675619,73.5782097697656,74.6212647515149,75.6713960720559,76.737672926631,75.3096698609275,76.3624436143695,77.4079905866591,78.426031803596,79.4481607938076,80.4905358191111,81.5116888994575,82.5106635122087,83.4680180803627,84.3287964445577,85.150427754208,
Lesotho,Lesotho,Densité de la population (personnes par kilomètre carré de superficie des terres),66.0050395256917,65.9042490118577,65.7008893280632,65.3840250329381,64.9251976284585,64.3305665349144,64.0666337285902,64.3368906455863,64.7740777338603,65.2464756258235,65.7526679841897,66.337582345191,67.0077075098814,67.7372859025033,68.5141304347826,69.321837944664,70.1720026350461,71.0510540184453,71.9236824769433,72.7735507246377,73.6405467720685,74.4908432147563,75.3000658761528,
de dividende tardif démographique,demographic late dividend,Densité de la population (personnes par kilomètre carré de superficie des terres),46.0098979679216,46.348959585618,46.6640057376622,46.9615796679169,47.2602062762984,47.5540347941508,47.750641833215,48.0619705210162,48.3767096734734,48.6767234859002,48.9507794366025,49.2570053181785,49.6202744577076,49.9724175150802,50.3346418765618,50.6730272620192,51.0039013687088,51.3423386504346,51.6234276333783,51.8590508982711,52.0373519157414,52.1177105850938,52.2010767219358,
Lituanie,Lithuania,Densité de la population (personnes par kilomètre carré de superficie des terres),55.8317804722399,55.3736119974473,54.9308710912572,54.4864869176771,53.8780312699426,53.0077855775367,52.1682992980217,51.5522335673261,51.0288153171121,50.4653530115676,49.418141204627,48.3153301209433,47.6716501260491,47.1908895093738,46.805538707103,46.3672785315243,45.7876664218895,45.1525837710126,44.731646175954,44.6205206004471,44.6324656659214,44.7346909439387,45.2309596830873,
Luxembourg,Luxembourg,Densité de la population (personnes par kilomètre carré de superficie des terres),169.472433053922,171.501984882267,173.30818890175,175.427079853639,177.938286087179,180.681774041935,183.586849281014,186.444147510546,189.806794434561,193.354334501216,196.916246513832,201.342029008025,206.235870823396,211.05785290896,216.091529874226,221.251835336342,226.072263698018,231.635372078028,236.146609386046,240.827591028798,244.874264894386,248.62068161867,253.685433061691,
Lettonie,Latvia,Densité de la population (personnes par kilomètre carré de superficie des terres),38.0469892490398,37.5587767367863,37.1249296928986,36.7678821090523,36.3688109663008,35.9779356228004,35.6494287045816,35.3596509553731,34.9899882687579,34.4170376203256,33.7081170552975,33.0999244700853,32.691902228936,32.3436289713468,32.0404647500281,31.7792437366417,31.4901409356067,31.2123033409935,30.9700612274415,30.755491989008,30.5391129680219,30.2826610959344,30.2005945685361,
"Région administrative spéciale de Macao, Chine","Macau Special Administrative Region, China",Densité de la population (personnes par kilomètre carré de superficie des terres),21530,16688.4615384615,16237.037037037,16429.6296296296,16239.2857142857,16910.7142857143,17444.0559440559,17839.0410958904,18517.1232876712,18135.593220339,18080.8080808081,18381.27090301,18993.3110367893,19534.6534653465,20518.1518151815,21148.0263157895,21393.4426229508,21051.9480519481,20027.3556231003,20425.5319148936,20832.8267477204,20681.8181818182,,
