Country FR,Country,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bosnie-Herzégovine,Bosnia and Herzegovina,Densité de la population (personnes par kilomètre carré de superficie des terres),"81,25","81,63","81,80","81,61","80,88","80,01","79,36","78,39","77,10","75,78","74,44","73,08","71,68","70,52","69,63","68,72","67,83","66,97","66,15","65,34","64,44","63,38","62,59",
Bélarus,Belarus,Densité de la population (personnes par kilomètre carré de superficie des terres),"49,20","48,95","48,64","48,30","47,98","47,64","47,34","47,12","46,96","46,84","46,74","46,63","46,56","46,54","46,55","46,61","46,65","46,60","46,50","46,41","46,21","45,84","45,46",
Belize,Belize,Densité de la population (personnes par kilomètre carré de superficie des terres),"10,56","10,89","11,22","11,56","11,91","12,26","12,62","12,98","13,34","13,71","14,04","14,35","14,66","14,98","15,30","15,62","15,99","16,36","16,67","16,91","17,13","17,33","17,66",
Bermudes,Bermuda,Densité de la population (personnes par kilomètre carré de superficie des terres),"1 139,81","1 145,69","1 150,78","1 155,30","1 158,43","1 161,31","1 163,59","1 166,85","1 172,22","1 177,13","1 180,09","1 180,24","1 178,63","1 177,30","1 176,46","1 175,26","1 174,98","1 177,37","1 182,06","1 187,17","1 192,26","1 197,19","1 199,06",
Bolivie,Bolivia,Densité de la population (personnes par kilomètre carré de superficie des terres),"7,94","8,08","8,22","8,35","8,50","8,64","8,79","8,94","9,09","9,25","9,40","9,55","9,71","9,86","10,01","10,17","10,32","10,47","10,62","10,77","10,91","11,02","11,15",
Brésil,Brazil,Densité de la population (personnes par kilomètre carré de superficie des terres),"20,82","21,09","21,36","21,61","21,86","22,10","22,33","22,56","22,78","22,98","23,18","23,36","23,56","23,75","23,94","24,13","24,31","24,49","24,66","24,82","24,96","25,07","25,16",
Barbade,Barbados,Densité de la population (personnes par kilomètre carré de superficie des terres),"609,45","610,29","614,30","618,08","621,62","624,90","627,91","630,90","634,22","637,50","640,10","642,18","644,04","645,73","647,32","648,81","650,23","651,56","652,82","653,97","655,11","656,16","656,55",
Brunéi Darussalam,Brunei Darussalam,Densité de la population (personnes par kilomètre carré de superficie des terres),"61,94","63,25","64,53","65,78","66,97","68,11","69,20","70,37","71,69","73,05","74,45","75,79","76,96","78,03","79,08","80,12","81,13","82,12","83,08","84,00","84,90","85,72","86,41",
Bhoutan,Bhutan,Densité de la population (personnes par kilomètre carré de superficie des terres),"15,00","15,35","15,69","16,02","17,07","17,36","17,60","17,80","18,01","18,21","18,41","18,61","18,82","19,03","19,23","19,43","19,61","19,78","19,92","20,05","20,19","20,33","20,47",
Botswana,Botswana,Densité de la population (personnes par kilomètre carré de superficie des terres),"2,96","3,02","3,08","3,13","3,19","3,25","3,31","3,37","3,44","3,51","3,59","3,66","3,72","3,78","3,83","3,89","3,94","4,00","4,06","4,11","4,17","4,24","4,31",
République centrafricaine,Central African Republic,Densité de la population (personnes par kilomètre carré de superficie des terres),"6,15","6,29","6,43","6,59","6,73","6,88","7,03","7,16","7,32","7,27","7,21","7,33","7,40","7,45","7,42","7,43","7,57","7,69","7,83","7,94","8,07","8,21","8,18",
Canada,Canada,Densité de la population (personnes par kilomètre carré de superficie des terres),"3,42","3,46","3,50","3,53","3,56","3,60","3,63","3,67","3,71","3,75","3,79","3,83","3,87","3,91","3,95","3,98","4,03","4,08","4,13","4,20","4,24","4,35","4,43",
Europe centrale et les pays baltes,Central Europe and the Baltics,Densité de la population (personnes par kilomètre carré de superficie des terres),"98,15","97,43","96,95","96,64","96,36","96,11","95,87","95,52","95,18","94,91","94,57","94,34","94,13","93,83","93,56","93,33","93,08","92,89","92,70","92,56","92,35","91,09","90,77",
Suisse,Swiss,Densité de la population (personnes par kilomètre carré de superficie des terres),"181,77","182,93","184,33","185,70","186,99","188,20","189,39","191,09","193,54","195,98","198,03","200,25","202,39","204,73","207,25","209,63","211,93","213,92","215,50","217,04","218,63","220,31","222,15",
Îles Anglo-Normandes,Channel Islands,Densité de la population (personnes par kilomètre carré de superficie des terres),"748,03","751,77","756,97","762,42","767,87","773,36","778,86","784,39","789,94","795,51","801,12","806,60","811,95","817,06","821,85","825,53","827,69","829,89","833,08","836,56","839,57","842,13",,
Chili,Chile,Densité de la population (personnes par kilomètre carré de superficie des terres),"20,85","21,09","21,33","21,55","21,77","21,99","22,20","22,42","22,65","22,88","23,11","23,34","23,56","23,79","24,03","24,27","24,57","24,96","25,41","25,82","26,05","26,17","26,30",
Chine,China,Densité de la population (personnes par kilomètre carré de superficie des terres),"134,49","135,47","136,38","137,24","138,05","138,87","139,65","140,38","141,10","141,80","142,49","143,27","144,24","145,21","146,13","146,98","147,82","148,72","149,42","149,95","150,31","150,44","150,42",
Côte d'Ivoire,Ivory Coast,Densité de la population (personnes par kilomètre carré de superficie des terres),"55,66","57,17","58,66","60,14","61,62","63,11","64,61","66,13","67,66","69,18","70,72","72,27","73,80","75,28","77,13","79,39","81,73","84,07","86,37","88,66","90,93","93,21","95,58",
Cameroun,Cameroon,Densité de la population (personnes par kilomètre carré de superficie des terres),"31,55","32,39","33,27","34,19","35,14","36,12","37,13","38,18","39,29","40,43","41,61","42,80","44,02","45,28","46,67","48,16","49,62","51,04","52,48","53,96","55,45","56,94","58,46",
"Congo, République démocratique du","Congo, Democratic Republic of",Densité de la population (personnes par kilomètre carré de superficie des terres),"22,28","23,00","23,71","24,41","25,14","25,93","26,74","27,56","28,40","29,29","30,24","31,25","32,31","33,43","34,58","35,74","37,03","38,41","39,72","41,00","42,34","43,73","45,17",
"Congo, République du","Congo, Republic of",Densité de la population (personnes par kilomètre carré de superficie des terres),"9,23","9,58","9,81","10,09","10,44","10,82","11,24","11,66","12,05","12,54","13,07","13,50","13,88","14,22","14,57","14,93","15,29","15,67","16,06","16,45","16,85","17,25","17,67",
Colombie,Colombia,Densité de la population (personnes par kilomètre carré de superficie des terres),"35,23","35,79","36,34","36,90","37,44","37,97","38,48","38,97","39,44","39,90","40,36","40,79","41,20","41,60","41,97","42,33","42,76","43,38","44,19","44,98","45,63","46,14","46,63",
Comores,Comoros,Densité de la population (personnes par kilomètre carré de superficie des terres),"288,06","294,05","300,33","306,18","312,04","318,47","324,96","331,50","338,16","344,95","351,87","358,98","366,27","374,10","382,32","390,48","398,57","406,59","414,61","422,66","431,04","439,64","448,25",
Cabo Verde,Cape Verde,Densité de la population (personnes par kilomètre carré de superficie des terres),"112,49","114,22","115,89","117,46","118,95","120,38","121,77","123,12","124,41","125,59","126,50","126,91","127,04","127,10","127,13","127,14","127,18","127,27","127,40","127,57","127,71","128,20","128,97",
Costa Rica,Costa Rica,Densité de la population (personnes par kilomètre carré de superficie des terres),"77,12","78,51","79,82","81,06","82,26","83,46","84,63","85,79","86,96","88,13","89,23","90,28","91,34","92,36","93,36","94,36","95,32","96,22","97,10","97,92","98,60","99,10","99,53",
Petits états des Caraïbes,Small Caribbean States,Densité de la population (personnes par kilomètre carré de superficie des terres),"6,70","6,77","6,83","6,89","6,95","7,00","7,05","7,11","7,16","7,21","7,26","7,30","7,35","7,42","7,48","7,54","7,59","7,65","7,75","7,83","7,86","7,91","7,96",
Cuba,Cuba,Densité de la population (personnes par kilomètre carré de superficie des terres),"103,44","103,76","105,06","105,35","105,62","105,81","105,97","106,04","106,09","106,11","106,14","105,76","105,98","108,41","108,50","108,31","108,28","108,36","108,16","107,93","107,67","107,15","106,55",
Curacao,Curacao,Densité de la population (personnes par kilomètre carré de superficie des terres),,,,,,,,,,,,339.709459459459,342.540540540541,346.445945945946,351.146396396396,355.810810810811,359.603603603604,360.754504504504,358.864864864865,354.596846846847,348.97972972973,343.173423423423,337.828828828829,
Îles Caïmans,Cayman Islands,Densité de la population (personnes par kilomètre carré de superficie des terres),165.308333333333,171.204166666667,177.141666666667,183.058333333333,188.966666666667,194.95,200.966666666667,207.029166666667,213.129166666667,219.241666666667,225.4125,231.691666666667,238.066666666667,244.395833333333,250.666666666667,256.841666666667,262.916666666667,268.895833333333,274.754166666667,280.529166666667,286.183333333333,292.116666666667,298.295833333333,
Chypre,Cyprus,Densité de la population (personnes par kilomètre carré de superficie des terres),102.561363636364,104.342748917749,106.21645021645,108.180735930736,110.159632034632,112.137554112554,114.114502164502,116.094588744589,118.076406926407,120.061796536797,122.058008658009,124.079329004329,126.125216450216,128.127164502165,130.065043290043,131.980735930736,133.88658008658,135.744047619048,137.525649350649,139.250108225108,140.935822510823,142.565909090909,144.087662337662,
République tchèque,Czech Republic,Densité de la population (personnes par kilomètre carré de superficie des terres),132.717264138734,132.219554807817,131.96474699107,131.926983305293,131.984222107171,132.166916903961,132.542459546926,133.318161812298,134.445921802175,135.214085965821,135.626181535673,135.90687556649,136.097177262722,136.159958559959,136.30337995338,136.589288952208,136.851858567543,137.21587877218,137.675534257221,138.226810266108,138.575928842168,136.108349053848,138.290511305111,
Allemagne,Germany,Densité de la population (personnes par kilomètre carré de superficie des terres),235.596813297034,236.027300085985,236.451570830706,236.616427281328,236.592195429653,236.464680582636,236.225197866483,235.943361918146,235.522178240542,234.939637417171,234.606908225034,230.304633348634,230.750625466231,231.155712565925,232.108053883634,234.152986871524,235.712929356538,236.588722557747,237.294012250272,237.822954291766,238.017318755545,238.118085806692,239.861418021525,
Djibouti,Djibouti,Densité de la population (personnes par kilomètre carré de superficie des terres),32.2397756686799,33.2749352890423,34.3215703192407,35.0957290767903,35.639516824849,36.2022001725626,36.9182053494392,37.7276962899051,38.5131147540984,39.3238567730802,40.1316220880069,40.9213977566868,41.7060828300259,42.4859361518551,43.2578515962036,44.0169542709232,44.7650129421915,45.5065142364107,46.2416738567731,46.9676013805004,47.6785159620362,48.3713546160483,49.0550474547023,
Dominique,Dominic,Densité de la population (personnes par kilomètre carré de superficie des terres),91.348,91.0506666666667,91.156,91.3746666666667,91.532,91.6453333333333,91.7413333333333,91.796,91.8053333333333,91.8186666666667,91.812,92.0706666666667,92.1573333333333,92.9533333333333,93.8306666666667,93.88,92.808,91.328,90.8986666666667,90.5066666666667,90.0973333333333,89.6026666666667,89.1013333333333,
Danemark,Denmark,Densité de la population (personnes par kilomètre carré de superficie des terres),133.4904,133.969575,134.398275,134.76435,135.113075,135.4858,135.9318,136.53595,137.340525,138.077375,138.692075,139.2643,139.7893,140.3733,141.086875,142.087075,143.20025,144.1245,144.8409,145.36055,145.7851,146.418325,147.575925,
République dominicaine,Dominican Republic,Densité de la population (personnes par kilomètre carré de superficie des terres),177.689712274891,180.506789484579,183.238149451459,185.895673773546,188.468060442972,190.954957565721,193.359200993583,195.728793210515,198.160422272821,200.688573794245,203.274166839164,205.870854895467,208.453963982612,211.008755951149,213.527799627406,215.997288346098,218.410888014904,220.799896501759,223.18470296005,226.026774543851,228.397349102723,230.786990834893,233.012351959686,
Algérie,Algeria,Densité de la population (personnes par kilomètre carré de superficie des terres),12.9753428165963,13.1547612249868,13.3309408247752,13.5093746588628,13.6993483755574,13.9012860345798,14.1172025493967,14.3548061501255,14.6182878903659,14.901057630136,15.1940329339055,15.4942924080714,15.8061610419273,16.1286164736705,16.4606678310815,16.8026368106356,17.1516218598076,17.5037080018356,17.846203680417,18.177688506013,18.4915534476671,18.7934368178572,19.0941790060296,
Asie de l’Est et Pacifique (hors revenu élevé),East Asia and the Pacific (excluding high income),Densité de la population (personnes par kilomètre carré de superficie des terres),113.8692161427,114.948848125012,115.979292636256,116.915793940812,117.873684186311,118.803384208304,119.728065264991,120.679234154656,121.624879230522,122.545457709395,123.455331524104,124.425348644058,125.517256762924,126.602516818691,127.633880213556,128.613801730869,129.581742367703,130.567654797603,131.409868337961,132.134925461608,132.732163470285,133.025368143379,133.338264665834,
de dividende précoce démographique,demographic early dividend,Densité de la population (personnes par kilomètre carré de superficie des terres),75.6044104013335,77.017662871189,78.3909683143576,79.7530261092754,80.8325051329444,82.2031159963338,83.5796772703463,84.9538936563716,86.317587643204,87.6854105545023,89.0525525332427,90.4444620157787,91.8072245321802,93.1523170525683,94.4506290925745,95.7429697331358,97.0256299345761,98.2755925064534,99.4817619661395,100.705896897962,101.937460447807,102.970775558914,104.215136704616,
Asie de l’Est et Pacifique,East Asia and the Pacific,Densité de la population (personnes par kilomètre carré de superficie des terres),83.8610283923368,84.6180209072522,85.3339979051621,85.9898625903736,86.6447901055722,87.2821829617991,87.9299461993076,88.5992481515687,89.2704344580735,89.9112402589462,90.541816346644,91.2047609541949,91.9505053157009,92.6875501269335,93.3939861708619,94.0667650140412,94.6937276463779,95.3640917843833,95.9404015370252,96.4384403820969,96.8326589374524,97.0062255590139,97.3352488628978,
Europe et Asie centrale (hors revenu élevé),Europe and Central Asia (excluding high income),Densité de la population (personnes par kilomètre carré de superficie des terres),37.626909919613,37.7906336394161,37.9569308172028,38.1291367114004,38.3037299989495,38.4664499428411,37.9881837868454,38.0901944390934,38.3457160529815,38.6382318064592,38.9526977500834,39.2717248462357,39.5978151920852,39.9477457084208,40.3161940532643,40.6415645299716,41.009887481879,41.3688944856409,41.7277928443903,42.1008873642512,42.4283608159113,42.6866327239292,42.4584548403521,
Europe et Asie centrale,Europe and Central Asia,Densité de la population (personnes par kilomètre carré de superficie des terres),31.6482198871248,31.6936601092451,31.7535867871872,31.8349005322121,31.9257360433002,32.0150709700291,31.995055066888,32.0837040137056,32.2130377101972,32.3373974232148,32.451384703951,32.521307397061,32.6497081491177,32.7991787382541,32.956033726099,33.1015523158743,33.2511660468618,33.3853908322848,33.5119824132124,33.6241863475382,33.7121800265421,33.7114911867348,33.7231954793762,
Équateur,Ecuador,Densité de la population (personnes par kilomètre carré de superficie des terres),51.0919874375906,51.9839748751812,52.9009180222258,53.8424303430504,54.7942543082622,55.7503744564342,56.7165847962635,57.6935617651796,58.6857867611532,59.6954179416975,60.7050048316959,61.7097237880496,62.700088581092,63.6460299565147,64.5640360766629,65.4945442100177,66.4565107102593,67.4807497181511,68.6485223063295,69.8180906748269,70.6477089708488,71.1968674504751,71.7663754227734,
"Égypte, République arabe d’","Egypt, Arab Republic of",Densité de la population (personnes par kilomètre carré de superficie des terres),73.4173328645336,74.9932482796725,76.587610628359,78.2094007735195,79.8407182681199,81.4717002360741,83.0784097644281,84.6614345270983,86.2572595308654,87.9015882264303,89.6037691496308,91.5094268923602,93.5868210357125,95.7693033301522,97.9744376914963,100.052581244663,102.109185795369,104.170030639409,106.165145411623,108.044761665578,109.814781254709,111.464169973379,113.13300517354,
Zone euro,Eurozone,Densité de la population (personnes par kilomètre carré de superficie des terres),119.105131450003,119.518988548357,120.075855929327,120.698582973127,121.372267289116,122.0012035141,122.593659680587,123.220383470453,123.840462857545,124.240123823467,124.467199512913,124.203816078806,124.455808148179,124.804103133553,125.220489647796,125.607313797119,125.938968337871,126.219880600761,126.492399333536,126.620734642634,126.792107850345,126.846970573241,127.410437652607,
Érythrée,Eritrea,Densité de la population (personnes par kilomètre carré de superficie des terres),22.2478316831683,22.8918712871287,23.6928514851485,24.6921089108911,21.4765054072847,21.9889099906246,22.3422474247986,22.6651485964038,23.2643755206101,23.8530992984597,24.3272910774296,24.7626561652109,25.0820517513238,25.3975905581196,25.572294764578,25.6468528978016,25.8074296058691,26.0206072238481,26.3695100817645,26.7606490641362,27.1914115855899,27.678123387605,28.1677432992466,
Espagne,Spain,Densité de la population (personnes par kilomètre carré de superficie des terres),81.2983246492986,81.9433763941266,83.0225192369349,84.5088139260031,85.9848050803317,87.4654972049129,88.9761493446631,90.6149005229308,92.1293223736969,92.9750651746681,93.1519309613808,93.5078358806114,93.5068371284061,93.2009456028468,92.9227364506907,92.9526859210545,93.0492629572988,93.2709101549633,93.6697920792501,94.3508089023978,94.815383748924,94.8822087969797,95.5729827216798,
